,Book Title,Published Year,No of Reviews,Book Cover,Publisher,Price
0,Лето в пионерском галстуке,2022,96,мягкая обложка,Popcorn Books,4 790 ₸
1,О чём молчит Ласточка,2022,32,мягкая обложка,Popcorn Books,5 290 ₸
2,Гипотеза любви,2022,5,твердый переплет,Манн,4 389 ₸5 486 ₸
3,Рождество Эркюля Пуаро,2020,4,мягкая обложка,Эксмо,1 581 ₸
4,Портрет Дориана Грея,2017,68,мягкая обложка,АСТ,1 690 ₸
5,Маленькие женщины,2019,75,мягкая обложка,АСТ,1 590 ₸
6,Таинственный сад,2020,43,мягкая обложка,АСТ,1 690 ₸
7,Убийство в «Восточном экспрессе»,2022,23,мягкая обложка,Эксмо,1 990 ₸
8,Лисья нора. Книга 1: роман,2020,46,мягкая обложка,Popcorn Books,4 090 ₸
9,Десять негритят,2019,52,мягкая обложка,Эксмо,1 890 ₸
10,Благословение небожителей. Том 2,2022,15,твердый переплет,Комильфо,8 990 ₸
11,Благословение небожителей. Том 1,2021,42,твердый переплет,Комильфо,7 641 ₸8 990 ₸
12,Король Воронов,2020,21,мягкая обложка,Popcorn Books,4 690 ₸
13,Гордость и предубеждение,2018,249,твердый переплет,Азбука,1 690 ₸
14,"Есть, молиться, любить",2015,28,мягкая обложка,РИПОЛ классик,2 790 ₸
15,Тайная история,2014,8,твердый переплет,Corpus,6 586 ₸
16,Маленькая жизнь,2016,22,твердый переплет,АСТ,7 572 ₸
17,Ночь в Лиссабоне,2014,13,мягкая обложка,АСТ,1 990 ₸
18,Али и Нино,2022,1,мягкая обложка,Азбука,1 790 ₸
19,"Will. Чему может научить нас простой парень, ставший самым высокооплачиваемым актером Голливуда",2021,27,твердый переплет,Бомбора,5 990 ₸
20,Тревожные люди,2022,5,твердый переплет,Синдбад,7 981 ₸
21,С замиранием сердца. Том 1,2021,5,мягкая обложка,Popcorn Books,3 204 ₸
22,Тысяча сияющих солнц,2022,178,твердый переплет,Фантом Пресс,6 290 ₸
23,Отель с привидениями,2021,5,мягкая обложка,АСТ,1 507 ₸
24,Основатель Тёмного Пути. Том 2,2022,3,твердый переплет,Комильфо,7 928 ₸
25,Смерть на Ниле,2018,26,мягкая обложка,Эксмо,1 790 ₸
26,Рождественские истории,2021,^^^^^^,мягкая обложка,АСТ,1 633 ₸
27,Белые ночи,2018,11,мягкая обложка,АСТ,1 690 ₸
28,Цветы для Элджернона,2010,118,мягкая обложка,Эксмо,1 990 ₸
29,Капучино с маршмэллоу. Том 1,2022,3,мягкая обложка,Popcorn Books,4 887 ₸
30,Аристотель и Данте открывают тайны Вселенной,2022,11,мягкая обложка,Popcorn Books,4 490 ₸
31,"Дом, в котором...",2019,44,твердый переплет,Гаятри,10 741 ₸
32,Триумфальная арка,2020,16,мягкая обложка,АСТ,2 390 ₸
33,Честь,2018,138,мягкая обложка,Азбука,1 790 ₸
34,1984,2022,1,мягкая обложка,АСТ,1 890 ₸
35,Тут мой дом,2022,1,твердый переплет,АСТ,4 220 ₸
36,Мартин Иден,2014,63,мягкая обложка,АСТ,1 990 ₸
37,Назови меня своим именем,2019,23,мягкая обложка,Popcorn Books,4 904 ₸
38,Дневник памяти,2015,36,мягкая обложка,АСТ,1 890 ₸
39,Бегущий за ветром,2013,152,твердый переплет,Фантом Пресс,6 690 ₸
40,Джейн Эйр,2016,46,мягкая обложка,АСТ,1 990 ₸
41,Гордость и предубеждение,2015,54,мягкая обложка,АСТ,1 790 ₸
42,Унесенные ветром. Комплект из 2 книг,2020,10,твердый переплет,Эксмо,3 790 ₸
43,Скорбь Сатаны,2019,18,мягкая обложка,АСТ,1 790 ₸
44,Убийство Роджера Экройда,2019,9,мягкая обложка,Эксмо,1 690 ₸
45,Тот самый,2021,6,мягкая обложка,Popcorn Books,3 040 ₸
46,Цианид,2022,9,твердый переплет,АСТ,3 790 ₸
47,Основатель Тёмного Пути. Том 1,2022,7,твердый переплет,Комильфо,12 096 ₸
48,Атлант расправил плечи,2022,148,твердый переплет,Альпина Паблишер,9 190 ₸
49,Капучино с маршмэллоу. Том 2,2022,^^^^^^,мягкая обложка,Popcorn Books,4 912 ₸
50,Норвежский лес,2020,5,мягкая обложка,Эксмо,2 390 ₸
51,Демиан,2014,33,мягкая обложка,АСТ,1 990 ₸
52,Щегол,2015,22,твердый переплет,Corpus,7 690 ₸
53,С замиранием сердца. Том 2. Heartstopper,2021,8,мягкая обложка,Popcorn Books,4 190 ₸
54,Невеста Ноября,2022,7,твердый переплет,Эксмо,3 790 ₸
55,Вторая жизнь Уве,2016,37,твердый переплет,Синдбад,7 029 ₸
56,Волоколамское шоссе,2019,56,твердый переплет,Книжный клуб,4 800 ₸
57,Парень встретил парня,2022,^^^^^^,твердый переплет,Popcorn Books,4 000 ₸
58,Наследница черного дракона,2021,8,твердый переплет,Клевер Медиа Групп,3 153 ₸3 941 ₸
59,Шестерка воронов,2018,91,твердый переплет,АСТ,4 190 ₸
